index,x,y,z
0,-1.2226191900664964e-07,5.442680185812041e-08,-0.19609802334865545
1,-1.1874138169945801e-07,5.5188534024829655e-08,-0.196098022794946
2,-1.1534844116216329e-07,5.586590382448755e-08,-0.19609802151736513
3,-1.1207114390370379e-07,5.647838727460506e-08,-0.19609802098997914
4,-0.019441717282305458,-0.027391782597033197,-0.19711395631145406
5,0.007519610589320257,0.0017994959597488975,-0.21069713435353338
6,0.0036869953055023758,-0.019034541210108554,-0.2910065330758558
7,-0.008083971061945472,-0.02556926246573288,-0.3010110247084301
8,0.002329408622278678,-0.018150517082258594,-0.3083635936864036
9,0.018181965489047294,0.0032324266531929425,-0.30754589143045474
10,0.02787691578777994,0.009485416132565908,-0.3011273746996074
11,0.034744262996348724,0.023403199447237823,-0.27977231416787457
12,0.05175558740147287,0.059050826293529535,-0.2110259494022525
13,0.07942418372527757,0.08718371515048523,-0.23993191181782128
14,0.04995102665396013,0.055731142314523634,-0.2177337318929453
15,0.014133322435041359,0.031102853147655984,-0.09704817200282083
16,0.027213730641908258,0.04219730219074657,-0.06736888489033777
17,0.012785782510946211,0.027692865965549707,-0.04188129406978544
18,0.01325122693362053,0.025247578084579943,-0.06198131712546703
19,0.0022357081266407078,0.018232061992647475,-0.08771278640690336
20,-0.0039030846957486204,0.010951092694315732,-0.08833743382726993
21,-0.0076113685940942775,0.0035741563036444687,-0.09924087975054816
22,-0.0024912020261041706,0.03123309418603088,-0.011661009858122648
23,0.013365118058786311,0.061867186190700925,0.037424640034136654
24,0.06635608720466499,0.13567593747679338,0.054805775731451914
25,-10.20300413699688,-27.955271613923443,-0.24637621044104652
26,-10.28158649980997,-28.047686108465864,-0.28303877328054033
27,-29.294249269471543,-47.00439709047834,-11.135916863003557
28,-32.63806715809882,-50.36459592687524,-7.742967747879271
29,-69.34086642203809,-87.06513070871155,-15.312841013644105
30,-93.08897381466345,-110.80510118435909,-20.9315922942036
31,-112.63364942931116,-130.26655758112872,-35.60254577084506
32,-133.10978185250548,-150.73572148150964,-39.23954482118375
33,-139.05973427149615,-156.60476961954726,-45.13882997448836
34,-133.8634040381678,-133.4946696922375,-49.88558564078708
35,-133.79157856148726,-133.39893642311506,-49.89978761976281
36,-199.70704729988086,-107.24959238301807,-43.12009507485833
37,-201.08344836429836,-111.19108827492616,-44.322592861069005
38,-176.16375657992188,-101.14803189192575,-39.4902806295748
39,-153.9771275704879,-79.42607557241332,-31.930723286577972
40,-139.98207412222328,-65.7242997678488,-18.626833509154125
41,-120.17858421843327,-45.90814276734866,-15.68646655642498
42,-128.49924674062268,-65.60681401844968,-11.550734754660448
43,-123.52057421973389,-60.73182875945603,-6.499169629022889
44,-134.97087403521758,-82.78680271301238,-0.39562388900972206
45,-82.30246073192731,-81.74215410434556,6.492542732027458
46,-103.40299431357056,-103.31203924002035,-2.0258259928288513
47,-95.52710022903963,-85.13301753584324,-1.8398057032236343
48,-102.64571402336803,-99.48870578530494,-9.261086073047945
49,-160.01232784782601,-119.68255356002305,-18.7559981856598
50,-159.405377105915,-119.13851692175723,-18.164151500022772
51,-157.11160167457564,-123.00873227915953,-16.26226136843831
52,-178.63363707151584,-159.88871785954746,-27.714253000047673
53,-167.25022076044877,-137.92802661534122,-33.756786432191895
54,-134.95350515505643,-146.18486987959514,-36.60404928311881
55,-109.09685503241813,-117.35699957863547,-30.234507050987563
56,-106.94836441623345,-125.16325529228604,-29.093675134148455
57,-100.76408615382167,-126.8280233270497,-24.163937125814684
58,-38.437531852531535,-102.37643587587776,-11.85229502113234
59,-38.410244051947885,-102.342139237953,-11.862039005279032
60,-28.20498234044558,-88.17359248270093,-10.671139754246488
61,-6.594185589317797,-51.192231461824555,0.7815556126534245
62,-6.527839870492936,-51.10481140455424,0.7484715879008892
63,-6.7130697869944616,-59.29900333203336,3.6560728111516974
64,-10.309752906865047,-74.54544955899193,5.249844416017415
65,-11.385140114868932,-61.10376684757465,6.324675780760176
66,-8.921789090372025,-43.12231606632481,6.800466056136071
67,-10.51580002305318,-55.1695283159481,9.245209370527812
68,-10.87546460229669,-59.54401376709435,5.536039238545976
69,-13.836713897418436,-61.08971797539664,8.567170353436271
70,-20.50430169840855,-76.57045517803334,7.508900608094389
71,-22.36336022314781,-78.4277494924737,5.651995387790369
72,-25.805440039954178,-82.03644349755209,2.621969299399156
73,-25.53111951545527,-81.92937010139764,-0.574362424706181
74,-27.05956979536643,-85.73271740998683,-2.7930587966692544
75,-27.065805827023848,-85.72900339521155,-2.7850125081635904
76,-28.042891612772777,-83.85442586425978,-14.09744769766144
77,-32.76278903929427,-99.1679988905586,-10.09404614156832
78,-34.373213746950825,-93.5886314814939,-8.755779128369884
79,-31.526844128624774,-91.96085825568348,-6.069125139471011
80,-33.039466809305765,-106.35491136076021,-3.7004314141633663
81,-29.4865652157437,-94.57545278613793,-3.542528637059407
82,-32.18347193926637,-97.72951206755747,-7.408041575829819
83,-27.845702718714097,-91.11673343257185,-4.874386977200881
84,-30.836203571235096,-106.01769009752246,-4.6720219526726945
85,-32.23685630337223,-111.37322384386304,-0.7358065827419193
86,-34.90980605892912,-107.53674368627533,-0.7958968796282035
87,-28.59452838073701,-96.34958236949085,-6.554454780529119
88,-24.790774165781013,-82.53177953959208,-8.209545815212792
89,-21.595987379894076,-70.61982414172394,-6.566922758628564
90,-22.023975603381228,-71.03873047533332,-6.984889629952481
91,-16.05597677149551,-52.72423629519889,-1.563512749065742
92,-23.124345980960502,-63.78546144682423,-6.212704801296722
93,-20.119030702228265,-48.8810777316143,-6.418228766531784
94,-15.588397125958203,-31.90989409424462,-3.013215631978584
95,-7.82831994634163,-16.045028481781298,-3.177272172902715
96,-10.38827601100464,-31.74028038374743,-3.5485974247516476
97,-10.378314479025372,-31.74760578976449,-3.5657095455731675
98,-10.216580426526772,-27.433255530941405,-5.710349154935251
99,-18.55110707448219,-43.233036620276465,-3.277792777204115
100,-18.54221145850051,-43.209493149474696,-3.205417510405071
101,-15.231887855268806,-44.56273566088434,-1.9701164428167302
102,-15.220850295010978,-44.54443557836049,-1.973941508957717
103,-15.222695901963881,-44.54490241454081,-1.9892860422683762
104,-22.24404786430755,-51.53953989968633,-8.326910430683137
105,-23.84207690258487,-52.111392799485216,-7.189198315239431
106,-28.448020246210433,-62.07350315088755,-7.594629841908833
107,-33.16086363811445,-66.76524474841715,-11.108165599583266
108,-26.634464749445026,-52.78853446025654,-10.818095277279546
109,-26.65904245605812,-52.81885572078413,-10.875840274282123
110,-27.265343009344704,-48.358389666657985,-7.598698141449938
111,-34.09889213623411,-64.05479028945196,-10.501650545026486
112,-37.88223340297015,-77.04101532192917,-9.046464369260732
113,-37.3357457338869,-92.3182978313056,-1.082005069571669
114,-33.16970926185134,-76.04834651002649,-1.8967094696216735
115,-33.31200308084792,-76.81133686077457,0.5580321182832618
116,-36.84750520964875,-84.92189816195476,-0.3523116808041067
117,-39.20814407738112,-87.26279735324931,-7.26619015181097
118,-39.19386284537687,-87.24395982792477,-7.2707492578780055
119,-40.672433270962934,-85.65870358936218,-2.4314838635820073
120,-39.24620979161212,-76.6847734141336,-0.7860495318311851
121,-35.46342390397221,-63.69137910694441,-2.2164618226079913
122,-28.967317880723524,-41.40688115083628,-3.902840846117497
123,-28.973848706050667,-41.41342660685021,-3.830748193967469
124,-24.239560106866428,-30.6591558990541,-5.887297288482856
125,-24.504570992718016,-31.61951482674161,-15.33917798486818
126,-24.128486573981792,-41.09314967121886,-17.93295174015417
127,-27.407116127084773,-51.05848476990556,-17.50919282777542
128,-21.539718103867486,-44.67370327986046,-22.23299072084889
129,-16.131104626856064,-37.945243191052015,-20.956743862653425
130,-19.278619825388294,-41.066534513927536,-17.753507125325285
131,-19.280185235990686,-41.04946046489646,-17.65807641300926
132,-26.94831908103014,-48.71189091798291,-14.625715097208317
133,-32.540720613384515,-54.567882539557985,-20.54334599434861
134,-24.002535003083768,-40.77227294820727,-6.639769872245996
135,-19.764779202358913,-26.703617822300416,0.6004964022249458
136,-7.895755832471197,-26.63952041181663,4.818012464890604
137,-7.895816105695644,-26.6282125591042,4.879751338790442
138,-7.892716736833941,-26.62124535785536,4.897706419497572
139,-4.725252669670439,-23.476149313981182,1.7258908039910874
140,-4.723138214256968,-23.46451886000924,1.678359689346972
141,2.958392765496536,-15.778094366860788,-1.3756123626258274
142,8.57845086045344,-9.906237202875054,4.569046147753185
143,8.558881606740762,-9.928559305136538,4.566346561170218
144,8.565235049389926,-9.913419715775193,4.5450145917367895
145,-0.007002829950486596,-0.004831523521937085,-0.08197338594181944
146,-0.010451358618042408,-0.006748696608579435,-0.11737398226348025
147,-0.014941647930691054,-0.016177673299779007,-0.13804269754153636
148,-0.008957580148180202,-0.005899562769715156,-0.16237897580829397
149,-0.004091464511974054,-0.008335258620584653,-0.18258079857404938
150,0.0013192284822710234,0.00013360863835650458,-0.18660252256406398
151,-0.0032542011159956696,-0.009763054929652633,-0.18920368844378285
152,0.02476127813136998,0.026589985782879855,-0.22191512370599953
153,0.022630280974296303,0.01806120217275719,-0.19749712799135513
154,0.025066097192949666,0.022360735582448645,-0.20290113607664825
155,0.011010147733060261,0.013422427458622847,-0.1748203442461897
156,0.015251429003354985,0.0162380326539697,-0.18331162736567522
157,0.01693834232165725,0.018661715849339382,-0.1832518792987707
158,-0.007845774078572367,-0.0035685205381137306,-0.15647964124258185
159,-0.00611164932264421,0.0012506705056725053,-0.14593771141894304
160,0.020832742083000438,0.03625997566273631,-0.20960447133159463
161,0.02182327077756953,0.022960385517701194,-0.2544376119925771
162,0.0004490239121220343,0.003203743911799842,-0.26121582612669564
163,-0.00563395451441197,0.00024305665163494776,-0.2506386648044604
164,0.01616317235031971,0.0144861305549393,-0.2872080640793466
165,0.01244239095591656,0.008654635370023329,-0.2713233721761805
166,0.01984858856938255,0.015429517834570786,-0.2415760998024988
167,0.06097190491587348,0.05622288007869759,-0.2432684532203241
168,0.04424054236364192,0.044352144517922305,-0.2336038959722092
169,0.02579451206498495,0.02931592065651086,-0.1429886782195911
170,0.012807024166351707,0.038146308079415485,-0.0638395890813917
171,12.665066526170232,0.09128212484720047,-0.3786300461201002
172,12.665080354409632,0.09146597701894715,-0.3783681791280868
173,12.676170618403901,0.10714464012395374,-0.3452568278897599
174,12.663215037437265,0.09957040495544861,-0.3157825819837906
175,12.648953376582897,0.0888417672894905,-0.27354439264886554
176,12.598904586088505,0.04147515063676498,-0.24780343973669058
177,12.621788855961556,0.054396453231244084,-0.2979000048158116
178,12.650724902565987,0.08095245531459597,-0.41199042865193514
179,12.633578704323646,0.04524496587029762,-0.41758140310544
180,0.010160197612438672,0.023763534570365025,-0.12466521046040896
181,0.008977343569515774,0.009160075082176145,-0.12616417055116502
182,-0.008821720828108833,-0.011892438637688395,-0.14370355222394424
183,0.0033330459950004334,-0.0015790393692396937,-0.1587638083419314
184,-0.007744124616211153,-0.017979354171757347,-0.22333559557888194
185,0.017229758092406587,0.0019494191478892677,-0.25550054512682974
186,0.008244404323754968,-0.0002593410875764285,-0.18771740839526854
187,-0.05531111372049015,-0.07000042623770114,-0.0718964374057301
188,-0.02876714739777292,-0.03931326846777369,-0.10526313568555021
189,-0.035832436222163214,-0.04696063379180036,-0.08588602323757609
190,-0.014037587715385911,-0.013752387190687061,-0.08306522691754019
191,-0.007903195620004064,-0.010273314120141932,-0.10352897722614313
192,-0.009528562800733354,-0.02750349669141718,-0.1184491762684315
193,-0.00035613650075797226,-0.02057284613347912,-0.10903710422282409
194,-0.02344641014527565,-0.03702283162403538,-0.07864758289959241
195,-0.03179636643894832,-0.04252639471736955,-0.10665872522344773
196,0.0005727455285352922,-0.01031935934114166,-0.13621991135851103
197,0.007244246561541286,-0.006684222765888082,-0.18443418270260814
198,-0.007632900988771652,-0.02429985549146823,-0.1995368920847299
199,-0.01306811337874056,-0.035281104805547574,-0.22594230252123854
200,10.04802874478915,-1.6464443019017807,0.10304624587095562
201,10.049912837948277,-1.6237765604046264,0.0947887578320023
202,10.053606734843909,-1.625040836915734,0.0868278379111364
203,10.075821824989115,-1.6088351582902574,0.07169240629926095
204,10.086556332499429,-1.6013371875152784,0.06583427706747755
205,10.060429526011479,-1.558052822948509,0.10093790957217474
206,10.060893244076881,-1.4840042002156182,0.018157698179103548
207,10.075750849902054,-1.4634578477350868,0.016283221345344583
208,10.064142698814033,-1.4686584791993988,0.03596701485852922
209,-0.0011562678870428481,0.1405413206523618,-0.28435294893250534
210,-0.001494825437505594,0.13509970901032908,-0.2829494784005628
211,-0.004186560485357494,0.1370716597982977,-0.2892815851275215
212,-0.003753547080589834,0.14028440491676664,-0.3045960302111473
213,-0.010747300943834318,0.12601214272761083,-0.3045776234431214
214,0.011788875716990091,0.08096149039457194,-0.33610116667278706
215,0.0004331505760182613,0.001387320234786187,-0.19783517286764923
216,-0.0001835375034112799,-0.0005787591563896274,-0.19584701574480212
217,-0.0001773680092868511,-0.000571518985051736,-0.19578119454833953
218,-6.56076485799724e-05,-0.000556518463460005,-0.1959198467139938
219,-0.00034345883262107863,-0.0009122582625982867,-0.19601768476261422
220,-0.0003547987178412948,-0.000928807291271054,-0.19598473624324825
221,-0.00034663169293253657,-0.0009137494356208665,-0.19599176691274967
222,-0.00034131321000308555,-0.0009027959063039058,-0.19601242210673314
223,-0.0003513058093104132,-0.000915846587764856,-0.19608709818597658
224,-0.0003443865305620091,-0.0009025506528257605,-0.1960946928813801
225,-0.0003314373893263661,-0.0008804072676982115,-0.19610624424108977
226,-0.00034104733333976934,-0.0008929452259989934,-0.19618338333394822
227,-0.0003339321205634342,-0.0008793543005967678,-0.19620322457096756
228,-5.5054813716043614e-05,-0.0005225548888399168,-0.19611507167610798
229,-6.001521492750438e-05,-0.0005332314543709577,-0.19611773580273542
230,-5.879646193168565e-05,-0.000535124631446099,-0.19611360141305262
231,-5.694288736238471e-05,-0.000536122900286444,-0.1961092339206033
232,-5.50206449938656e-05,-0.0005370334692935152,-0.1961048776509085
233,-5.3087081007357555e-05,-0.0005379382158375503,-0.19610055589891
234,-5.114795275477345e-05,-0.0005388454048122863,-0.19609626941604452
235,-4.9203492624934446e-05,-0.0005397553952704083,-0.19609201728805434
236,-4.725338096180072e-05,-0.0005406677594653338,-0.19608779899846956
237,-4.529809991202518e-05,-0.0005415832259754365,-0.196083614313898
238,-4.333760962683133e-05,-0.0005425017614065474,-0.19607946327651715
239,-4.138099210003609e-05,-0.0005434129080368725,-0.19608357588711053
240,-3.9419526505227616e-05,-0.000544327909072616,-0.19608763990051514
241,-3.7452535974852465e-05,-0.0005452457865627181,-0.19609166287530752
242,-3.548026086135898e-05,-0.0005461668857102656,-0.19609564937619742
243,-3.35027136669104e-05,-0.0005470912004884696,-0.19609960198149484
244,-3.1520122747714136e-05,-0.0005480190663566505,-0.19610352217800617
245,-2.9532747156772413e-05,-0.0005489508860274804,-0.1961074106698124
246,-2.7540056500063126e-05,-0.000549885930698539,-0.1961112677053224
247,-2.5542585333445745e-05,-0.0005508249752329342,-0.1961150933211682
248,-2.3531733741116492e-05,-0.0005517775396812082,-0.1961113071291565
249,-2.1516045354333935e-05,-0.0005527338558904186,-0.1961075651221916
250,-1.949525402709594e-05,-0.0005536936139027391,-0.1961038606706927
251,-1.746973477052281e-05,-0.0005546573219252052,-0.19610018984007527
252,-1.5439215006260892e-05,-0.0005556247258548517,-0.19609655042984386
253,-1.3403895259268467e-05,-0.000556596098187306,-0.19609294122751375
254,-1.136371613476239e-05,-0.0005575713666760287,-0.19608936169026928
255,-9.3188227491685e-06,-0.0005585507631647119,-0.1960858116502131
256,-7.272661500170728e-06,-0.0005595294301376166,-0.1960856578625054
257,-5.225306928793253e-06,-0.000560507064632291,-0.19608913149974655
258,-3.172670691154522e-06,-0.0005614883100233324,-0.1960925683293927
259,-1.1151984833467808e-06,-0.0005624738272027457,-0.19609597270129198
260,9.471480241046803e-07,-0.0005634635877140401,-0.19609934708576648
261,3.0141548832405716e-06,-0.0005644578806214962,-0.19610269280751816
262,5.086320710574874e-06,-0.0005654560855416339,-0.19610601051208845
263,7.166914409671052e-06,-0.0005664626047952288,-0.1961061534535963
264,9.25223542301808e-06,-0.0005674735927734146,-0.1961063019324748
265,1.1346009896885089e-05,-0.0005684935659059061,-0.1961030859442942
266,1.3444521226167111e-05,-0.000569517930809601,-0.19609990369936353
267,1.554769752829713e-05,-0.0005705468180181371,-0.1960967515208558
268,1.7654999641784718e-05,-0.0005715810118330071,-0.1960936273427186
269,1.9767143870360004e-05,-0.0005726195446026637,-0.1960905301031482
270,2.1880448082795878e-05,-0.0005736590299768733,-0.1960903955487964
271,2.3998454014812172e-05,-0.0005747032170426312,-0.19609025509935343
272,2.6117293862996143e-05,-0.000575748602741229,-0.19609325899757796
273,2.8241073980316356e-05,-0.000576798524654706,-0.19609622895580162
274,3.03697378308834e-05,-0.0005778531337685055,-0.1960991692935681
275,3.250318514447181e-05,-0.0005789126664278895,-0.19610208249161817
276,3.4641452155309724e-05,-0.0005799770764937408,-0.19610496984241294
277,3.678775556082823e-05,-0.0005810496663586815,-0.1961050994598571
278,3.893845459866045e-05,-0.0005821276506619206,-0.19610523413914105
279,4.109698509222364e-05,-0.0005832148320510757,-0.19610243475800226
280,4.325926638945074e-05,-0.0005843082739930093,-0.19609966797150932
281,4.54258676691062e-05,-0.000585407238770729,-0.19609692951998278
282,4.759583612847849e-05,-0.0005865130930612661,-0.19609421696528256
283,4.9763947137764794e-05,-0.0005876330930980769,-0.19609152904104038
284,5.1936860640839295e-05,-0.00058875033992569,-0.19609140333630737
285,5.411574985417453e-05,-0.0005898712657562197,-0.19609127443575003
286,5.6297085090278404e-05,-0.0005909930809223656,-0.19609387700851316
287,5.8483783614770046e-05,-0.0005921196503196138,-0.19609644972860657
288,6.0676087639283715e-05,-0.0005932506730733786,-0.19609899619712434
289,6.287447619245451e-05,-0.0005943855482715312,-0.19610151844417179
290,6.508156997519667e-05,-0.0005955275101331847,-0.1961016362724426
291,6.729504165389782e-05,-0.0005966729075965198,-0.19610175809535274
292,6.952042702920141e-05,-0.0005978142030510535,-0.19610188160118278
293,7.175080885733873e-05,-0.0005989686018942268,-0.19609946722948812
294,7.398483439710763e-05,-0.0006001299948905542,-0.19609707944106705
295,7.62229955957498e-05,-0.0006012976973112217,-0.19609471567047806
296,7.846297831849805e-05,-0.0006024684521796128,-0.1960946020094999
297,8.070779245046892e-05,-0.0006036447761714541,-0.19609448399504437
298,0.0024392372679400472,0.0020191169343133425,-0.13346073794083113
299,0.025213221385214497,0.02008203986895575,-0.1445583947145116
300,0.021512894932752467,0.014670718754950364,-0.12643474050383727
301,0.020191381296210356,0.020368311925393602,-0.10292826751179036
302,0.0073036365385378355,-0.011954524917787531,-0.15338850319976893
