Wall time,Step,Value
1614190686.090038,9,-14.332710266113281
1614190770.028656,22,-10.0
1614190796.114549,25,-27.715272903442383
1614191044.6685,57,-15.169065475463867
1614191047.855819,58,-10.0
1614191054.099967,60,-10.0
1614191246.562509,83,-10.038620948791504
1614191249.137484,84,-10.255913734436035
1614191279.359133,91,-10.0
1614191283.185313,92,-11.227006912231445
1614191391.391197,108,-15.064369201660156
1614191590.436181,143,-10.114264488220215
1614191713.110592,171,-11.432465553283691
1614191723.495962,175,-10.0
1614191727.957517,176,-14.400381088256836
1614191907.764423,189,-15.287395477294922
1614192001.84745,216,-10.0
1614192023.023296,221,-15.31160831451416
1614192064.135846,230,-10.523106575012207
1614192097.954635,238,-11.09986686706543
1614192172.769096,248,-11.893641471862793
1614192251.121258,265,-11.52781867980957
1614192285.257134,276,-13.300032615661621
1614192372.667582,298,-9.799010276794434
1614192385.413412,301,-12.138748168945312
1614192396.271071,303,-13.206875801086426
1614192595.078507,329,-10.0
1614192604.324375,332,-10.0
1614192648.006356,342,-10.0
1614192668.14585,349,-8.342463493347168
1614192728.966377,361,-10.0
1614192755.405716,367,-10.200885772705078
1614192776.705932,372,-8.824954986572266
1614192799.883946,376,-11.567593574523926
1614192896.031348,403,-10.0
1614192926.390315,412,-9.745291709899902
1614192975.866052,426,-10.0
1614193020.117131,435,-11.999314308166504
1614193058.094238,447,-10.0
1614193094.854408,456,-11.85788345336914
1614193325.043239,507,-10.705483436584473
1614193346.80923,514,-12.319160461425781
1614193349.266836,515,-10.0
1614193357.093846,518,-10.0
1614193377.979156,524,-7.439267158508301
1614193381.665588,525,-10.0
1614193433.557315,540,-12.200439453125
1614193465.6267,551,-10.0
1614193468.252325,552,-8.653223991394043
1614193472.833459,553,-7.875259876251221
1614193478.701338,554,-11.359018325805664
1614193524.69385,564,-11.44429874420166
1614193554.694553,574,-7.167076110839844
1614193591.047838,581,-10.0
1614193616.903832,589,-10.199999809265137
1614193634.568722,593,-11.1041841506958
1614193661.382609,603,-9.828542709350586
1614193693.743789,615,-10.0
1614193742.767242,629,-7.763134002685547
1614193764.415626,638,-8.115822792053223
1614193810.234705,650,-9.832770347595215
1614193837.356568,661,-10.0
1614193845.213674,664,-10.953361511230469
1614193949.229657,669,-10.007301330566406
1614194019.899518,690,-10.0
1614194026.587447,692,-10.104694366455078
1614194049.618011,697,-10.0
1614194064.468528,701,-10.453876495361328
1614194102.390925,708,-7.848398685455322
1614194244.75546,743,-10.0
1614194252.666322,746,-10.0
1614194277.32763,752,-11.093424797058105
1614194296.437875,759,-8.844223976135254
1614194302.192254,761,-10.119994163513184
1614194308.320569,763,-9.070900917053223
1614194423.667678,794,-9.585256576538086
1614194450.459222,799,-10.0
1614194453.858345,800,-8.23234748840332
1614194525.878377,815,-6.604904651641846
1614194530.35687,816,-9.126481056213379
1614194548.489354,820,-9.1207914352417
1614194557.034427,822,-9.599470138549805
1614194657.922141,827,-10.0
1614194718.069291,842,-8.07964038848877
1614194755.97997,850,-11.127548217773438
1614194757.286399,851,-10.0
1614194780.83829,856,-8.10120677947998
1614194826.910644,867,-8.840795516967773
1614194870.90679,877,-10.0
1614194896.218176,884,-8.99969482421875
1614194914.212917,887,-7.719442844390869
1614194921.297975,889,-10.903172492980957
1614194989.682505,902,-10.0
1614195007.593228,905,-11.774892807006836
1614195045.166171,914,-9.490153312683105
1614195113.61808,931,-10.03605842590332
1614195151.809432,941,-9.703834533691406
1614195411.793717,975,-10.0
1614195426.033393,978,-10.100000381469727
1614195510.909393,996,-8.148115158081055
1614195587.568419,1007,-7.631275177001953
1614195593.089955,1009,-10.0
1614195777.29017,1042,-10.0
1614195784.328961,1044,-8.236978530883789
1614195850.519164,1056,-10.111489295959473
1614195858.677947,1059,-9.512218475341797
1614195899.017052,1066,-7.595918655395508
1614195941.434005,1072,-10.100000381469727
1614196125.396449,1091,-9.612918853759766
1614196392.335372,1132,-6.251976013183594
1614196400.58049,1134,-10.0
1614196529.707294,1155,-8.243895530700684
1614196542.35268,1157,-10.325648307800293
1614196592.017973,1165,-11.055193901062012
1614196714.368576,1170,-6.079648971557617
1614196763.264588,1176,-7.676614761352539
1614196864.37077,1195,-7.782329082489014
1614196915.961095,1202,-9.018858909606934
1614196981.310908,1211,-8.823174476623535
1614197006.047614,1216,-8.490994453430176
1614197055.771017,1222,-10.155604362487793
1614197145.40457,1234,-5.447173595428467
1614197210.000941,1244,-10.986191749572754
1614197236.564677,1248,-10.228529930114746
1614197251.508297,1251,-7.041149616241455
1614197362.446105,1256,-7.322991847991943
1614197418.630033,1263,-7.049246788024902
1614197562.366338,1280,-8.732256889343262
1614197618.104208,1288,-8.357908248901367
1614197728.010189,1303,-8.044746398925781
1614197759.040136,1308,-8.429570198059082
1614197770.98788,1310,-7.855142593383789
1614197797.93348,1314,-11.182483673095703
1614197809.694507,1315,-9.022981643676758
1614197899.443861,1328,-10.119256019592285
1614198186.825101,1354,-6.976088047027588
1614198405.591141,1377,-7.612040996551514
1614198724.991531,1403,-4.722631931304932
1614198813.838011,1413,-5.619297504425049
1614198820.29544,1414,-7.180862903594971
1614198829.37446,1415,-5.68800687789917
1614198868.6186,1418,-8.8483304977417
1614198884.251458,1420,-7.094090938568115
1614198904.893959,1423,-7.505716800689697
1614198939.938266,1426,-7.920002460479736
1614199326.531798,1459,-5.326615333557129
1614199365.366746,1463,-6.946009159088135
1614199448.335047,1471,-6.891768932342529
1614199520.03665,1480,-3.9530436992645264
1614199529.761589,1481,-7.407471179962158
1614199623.451743,1491,-7.644935607910156
1614199916.055407,1512,-12.74852466583252
1614200027.858224,1521,-8.45192813873291
1614200153.136613,1531,-7.027264595031738
1614200349.906636,1546,-6.978100776672363
1614200480.781894,1550,-6.26631498336792
1614200760.318933,1576,-5.164092063903809
1614200850.679059,1585,-6.968246936798096
1614201006.872899,1598,-10.337919235229492
1614201133.743814,1602,-7.188418865203857
1614201323.993763,1620,-7.1629719734191895
1614201351.182829,1623,-6.912603378295898
1614201362.100499,1624,-5.915079593658447
1614201396.159052,1627,-5.862287521362305
1614201417.55045,1629,-6.5136237144470215
1614201463.514956,1633,-6.809892654418945
1614201563.751886,1642,-8.000608444213867
1614201583.000941,1644,-5.60734224319458
1614201623.810784,1648,-6.788135051727295
1614201635.129498,1649,-8.928977966308594
1614201761.66995,1653,-7.231848239898682
1614201818.321164,1658,-5.843884468078613
1614202247.310826,1701,-9.629609107971191
1614202532.160809,1721,-4.214941024780273
1614202718.447681,1740,-5.358508586883545
1614202745.574758,1743,-4.225255012512207
1614202824.182823,1751,-4.830993175506592
1614202895.959971,1758,-5.172391891479492
1614203228.289932,1783,-9.569350242614746
1614203264.565476,1786,-5.230650424957275
1614203413.487296,1800,-5.637774467468262
1614203453.379288,1804,-5.597020149230957
1614203539.753953,1812,-3.973306894302368
1614203658.801511,1815,-5.376393795013428
1614203687.026838,1818,-5.873805522918701
1614203714.054865,1821,-7.976091384887695
1614204009.008105,1851,-4.874144554138184
1614204034.520973,1853,-8.43613052368164
1614204169.426657,1867,-4.055041790008545
1614204220.506381,1872,-7.708863258361816
1614204357.766827,1877,-5.98817253112793
1614204475.64852,1888,-4.429501533508301
1614204608.887863,1901,-5.118673324584961
1614204636.224163,1904,-7.469043254852295
1614204797.123532,1921,-8.262772560119629
1614205034.191117,1938,-3.7440381050109863
1614205092.405204,1944,-5.906442642211914
1614205165.90209,1951,-6.81864595413208
1614205303.970893,1965,-5.116418361663818
1614205464.559835,1981,-3.9675333499908447
1614205528.254408,1987,-6.766467571258545
1614205684.019721,1994,-4.91703462600708
1614205990.824429,2026,-3.026561737060547
1614206145.448904,2042,-5.707348823547363
1614206368.866967,2055,-5.163389205932617
1614206599.915935,2077,-5.625763893127441
1614206653.476713,2083,-5.964372158050537
1614206684.951941,2087,-5.8271164894104
1614206721.375694,2091,-6.157557964324951
1614206764.911341,2096,-7.0077338218688965
1614206998.97002,2110,-4.062264442443848
1614207018.098964,2112,-5.339097023010254
1614207248.669682,2136,-4.215763092041016
1614207644.470771,2167,-5.608881950378418
1614207749.512245,2176,-5.712774753570557
1614207758.607536,2177,-7.17422342300415
1614207796.691512,2181,-6.894234657287598
1614207897.871603,2191,-6.191131114959717
1614207929.430278,2194,-8.358485221862793
1614207951.596035,2196,-4.016282081604004
1614207960.319386,2197,-8.30911636352539
1614208057.012663,2207,-5.576466083526611
1614208149.927035,2216,-4.279519557952881
1614208303.131182,2223,-4.500494480133057
1614208342.343613,2227,-2.7839014530181885
1614208590.865074,2249,-6.260571002960205
1614208780.979205,2269,-7.445530414581299
1614208788.469025,2270,-5.928397178649902
1614208821.103413,2273,-2.6893460750579834
1614208829.12207,2274,-6.7847490310668945
1614208973.070731,2280,-5.429342746734619
1614208982.521188,2281,-6.210378170013428
1614209089.606839,2292,-4.990144729614258
1614209257.456669,2309,-5.280482769012451
1614209298.124808,2313,-3.8909621238708496
1614209338.494862,2316,-14.481307029724121
1614209437.551505,2325,-5.157561302185059
1614209902.310332,2362,-4.1056132316589355
1614210366.67298,2400,-5.946957588195801
1614210546.78705,2418,-6.75377082824707
1614210558.719902,2419,-4.103860855102539
1614210880.468379,2442,-6.957204818725586
1614211134.145202,2468,-4.852557182312012
1614211144.966033,2469,-7.859196186065674
1614211252.576027,2479,-2.7626991271972656
1614211634.168808,2508,-4.358532905578613
1614211644.685822,2509,-4.404214859008789
1614211699.503232,2514,-5.007537364959717
1614211826.126709,2526,-4.196270942687988
1614211983.893761,2542,-6.407680511474609
1614212026.444242,2546,-3.8921921253204346
1614212136.66374,2549,-5.714673042297363
1614212182.612157,2553,-8.077021598815918
1614212243.746944,2559,-7.48101806640625
1614212483.986295,2581,-4.022459030151367
1614212580.515894,2590,-6.374729156494141
1614212605.353419,2592,-8.676339149475098
1614212635.090603,2595,-6.3035712242126465
1614212774.682015,2600,-8.3850736618042
1614212852.04682,2607,-7.528789520263672
1614212923.505909,2615,-5.112600803375244
1614212970.257657,2619,-5.148743152618408
1614213056.576162,2627,-4.79938268661499
1614213245.768734,2645,-5.518812656402588
1614213395.388731,2651,-5.276051998138428
1614213545.403697,2664,-6.123268127441406
1614213570.415326,2666,-3.7293434143066406
1614213657.348368,2674,-3.099668025970459
1614213822.818769,2689,-5.188842296600342
1614213835.245392,2690,-6.053125858306885
1614214054.209948,2703,-5.113537311553955
1614214151.980459,2712,-8.502985000610352
1614214176.110749,2714,-8.133661270141602
1614214196.81713,2716,-5.8176140785217285
1614214252.165746,2721,-7.252935409545898
1614214261.643956,2722,-6.01099967956543
1614214338.354545,2729,-3.958174705505371
1614214363.505712,2731,-5.178366661071777
1614214425.1765,2737,-7.517594337463379
1614214459.306814,2740,-3.654418706893921
1614214512.629141,2745,-7.981919765472412
1614214677.242048,2752,-8.405213356018066
1614214764.914401,2760,-6.382894039154053
1614214959.426802,2778,-6.704768657684326
1614214981.227384,2780,-5.568906784057617
1614215136.868675,2794,-3.324690103530884
1614215240.675126,2796,-5.966701030731201
1614215296.463842,2801,-5.501535892486572
1614215360.427508,2806,-3.3974227905273438
1614215453.092493,2813,-4.634122371673584
1614215529.614441,2819,-3.7196156978607178
1614215878.895808,2839,-3.1590373516082764
1614216004.440703,2850,-5.47981595993042
1614216082.539834,2856,-7.179986953735352
1614216183.873403,2866,-5.808511257171631
1614216292.236453,2872,-6.0049967765808105
1614216341.820288,2877,-7.236644744873047
1614216681.721297,2893,-10.827946662902832
1614216813.829202,2901,-5.507250785827637
1614217259.251132,2922,110.88157653808594
1614218231.751714,2964,109.25023651123047
1614218330.406619,2968,109.35835266113281
1614218396.249696,2971,-3.46185302734375
1614218447.021635,2973,-3.4179153442382812
1614218528.807038,2977,-5.517129421234131
1614218602.303466,2981,-10.443794250488281
1614218644.912644,2983,-4.207573890686035
1614219136.868949,3003,110.725341796875
1614219476.065464,3014,109.53768920898438
1614220037.937013,3033,110.20475006103516
1614220213.347669,3041,-20.401866912841797
1614220587.754575,3053,109.7282943725586
1614220629.515544,3055,110.7594223022461
1614220795.571505,3064,-4.928433895111084
1614221126.833975,3075,105.05906677246094
1614221190.167228,3078,-5.91896390914917
1614221447.913165,3090,110.41744995117188
1614221718.249381,3100,109.34520721435547
1614221770.102024,3102,108.26810455322266
1614221832.530352,3105,107.50457763671875
1614221855.768988,3106,106.09037017822266
1614222526.7577,3130,108.78202819824219
1614222623.336389,3134,109.98189544677734
1614223196.582062,3152,-3.893876075744629
1614223740.873855,3173,-10.0
1614224042.014594,3183,109.14457702636719
1614224631.223799,3207,-20.990148544311523
1614224654.513859,3208,110.54623413085938
1614226297.082479,3268,109.57462310791016
1614226464.688413,3275,110.56975555419922
1614226514.222568,3277,108.44190979003906
1614226868.471656,3290,-18.359390258789062
1614227062.035571,3300,-22.023372650146484
1614227081.966116,3301,108.56178283691406
1614227183.423833,3305,110.05438995361328
1614227354.454478,3310,109.15773010253906
1614227524.440467,3319,110.1827163696289
1614227548.352458,3320,109.56900787353516
1614227571.141445,3321,110.7989730834961
1614227868.046242,3332,108.86796569824219
1614227932.036534,3336,110.51014709472656
1614228041.747068,3343,-6.763972282409668
1614228598.582689,3365,111.11004638671875
1614228825.166043,3376,109.0794677734375
1614228867.511417,3378,109.51579284667969
1614229020.593923,3381,109.24285125732422
1614229443.286492,3400,109.04686737060547
1614229804.703803,3413,108.71643829345703
1614229917.590851,3418,110.27204132080078
1614230218.543253,3429,109.55039978027344
1614230301.423841,3433,109.61158752441406
1614230320.711616,3434,109.20609283447266
1614230720.791872,3450,-5.24925422668457
1614230920.671914,3460,-7.47567081451416
1614230978.053922,3463,-4.58464241027832
1614231286.68207,3473,108.86381530761719
1614231704.533503,3493,107.9607925415039
1614231709.551713,3494,-10.0
1614231894.798473,3499,-2.448812484741211
1614232039.659578,3505,110.87560272216797
1614232171.118805,3511,109.3666763305664
1614232300.975409,3517,110.58856964111328
1614233211.090589,3555,109.24144744873047
1614233220.510893,3556,-10.902835845947266
1614233407.519483,3566,-8.463330268859863
1614233589.584777,3571,109.09504699707031
1614233611.885231,3572,110.22277069091797
1614233736.04176,3578,106.4636459350586
1614234245.828673,3597,107.95296478271484
1614234295.915397,3599,106.91694641113281
1614234811.060165,3612,-1.4487582445144653
1614235272.398839,3619,-1.557979941368103
1614235303.226008,3620,106.337890625
1614235790.478115,3629,108.00166320800781
1614236022.88292,3636,-1.8789780139923096
1614236312.901597,3645,110.17149353027344
1614236922.796208,3663,109.25812530517578
1614236975.318202,3665,110.35006713867188
1614237091.01912,3669,107.47174072265625
1614237812.97834,3690,105.08968353271484
1614238138.586631,3699,110.11936950683594
1614238875.866815,3725,107.14452362060547
1614239405.18754,3740,110.2529296875
1614239619.275016,3744,109.3707275390625
1614239646.727357,3745,104.77099609375
1614239734.569445,3749,109.9677505493164
1614239848.069525,3753,104.8446044921875
1614239917.651311,3755,103.28839111328125
1614240375.167574,3769,105.27764129638672
1614240396.456351,3770,110.7906265258789
1614241086.151773,3793,104.94046783447266
1614241114.739416,3794,106.95410919189453
1614241380.992852,3800,109.00623321533203
1614241512.086057,3805,109.72460174560547
1614241565.520821,3807,106.16802215576172
1614241936.593957,3817,105.6860580444336
1614242169.964114,3825,106.68968200683594
1614242527.445281,3836,110.48544311523438
1614242705.633109,3843,110.86431884765625
1614242816.991066,3848,109.80838012695312
1614243082.494816,3856,109.25704193115234
1614243220.727402,3863,110.59768676757812
1614243240.384296,3864,110.28750610351562
1614243259.463808,3865,110.5696029663086
1614243320.777575,3868,110.3934097290039
1614243459.749286,3875,109.28608703613281
1614243996.616752,3895,110.885009765625
1614244093.703405,3900,111.1215591430664
1614245462.381067,3950,106.05567169189453
1614245561.241326,3954,109.66039276123047
1614245671.456975,3959,108.23033142089844
1614245896.123199,3966,-6.697556972503662
1614245989.68168,3971,-5.531569480895996
1614246182.05519,3981,-7.8382720947265625
1614246697.091174,4000,99.40812683105469
1614247361.437217,4021,109.54399871826172
1614247587.525547,4027,104.76598358154297
1614248428.526629,4060,110.75786590576172
1614248458.91874,4061,101.41667938232422
1614248484.061022,4062,107.13893127441406
1614248880.183599,4076,109.76726531982422
1614249432.540648,4097,106.01555633544922
1614249826.558727,4111,108.86131286621094
1614250081.396197,4123,109.13383483886719
1614250505.033396,4138,111.09720611572266
1614251103.759229,4163,107.19422149658203
1614251197.184758,4167,108.89781951904297
1614251224.362798,4168,106.1504135131836
1614251680.314453,4185,110.783203125
1614251729.698288,4187,107.64374542236328
1614251749.249465,4188,109.72357940673828
1614252180.154532,4206,-7.48967981338501
1614252337.032089,4213,109.8996810913086
1614253123.173948,4246,107.360595703125
1614253332.225078,4252,-2.8833048343658447
1614253458.620042,4258,-14.20695972442627
1614253515.189491,4261,-4.5829176902771
1614253578.553643,4265,-1.3765745162963867
1614253625.649888,4267,107.39885711669922
1614253720.046739,4271,-2.738528251647949
1614253902.69472,4276,-3.5191547870635986
1614253967.925162,4280,-2.4279026985168457
1614254058.329441,4285,-1.9572436809539795
1614254250.264317,4295,-6.42360258102417
1614254545.982169,4306,-4.386673450469971
1614255593.687009,4352,-4.490123271942139
1614255692.743257,4358,-1.7540037631988525
1614255771.802693,4363,102.21336364746094
1614256982.261254,4423,104.73954772949219
1614257118.716604,4431,107.04761505126953
1614257291.902826,4441,107.897705078125
1614257412.303431,4443,-7.113306522369385
1614257479.634726,4447,108.11740112304688
1614257789.940115,4465,106.58316040039062
1614257873.300305,4470,-4.080476760864258
1614258286.065202,4489,108.61182403564453
1614258335.796504,4492,105.1762466430664
1614258873.499138,4517,106.27947998046875
1614258958.238304,4522,107.0381088256836
1614258973.904677,4523,108.66618347167969
1614259009.959982,4525,108.62511444091797
1614259287.229547,4534,109.32510375976562
1614259988.244961,4565,107.79679107666016
1614260061.403609,4569,-2.630268096923828
1614260612.78228,4594,-3.0296099185943604
1614260710.251288,4599,105.25894927978516
1614260965.754065,4608,-2.555335760116577
1614261291.348908,4626,109.48957061767578
1614261644.491351,4640,107.47024536132812
1614261664.929383,4641,107.82218933105469
1614261940.149055,4656,-7.676376819610596
1614262242.7521,4668,-3.139106035232544
1614262609.119697,4688,108.320068359375
1614262730.925952,4690,109.27339172363281
1614262761.09485,4691,107.46578979492188
1614262826.685532,4694,107.54609680175781
1614262870.334989,4697,108.87934112548828
1614263059.327634,4706,108.11199951171875
1614263317.609575,4714,-1.9764199256896973
1614263372.286411,4717,106.99368286132812
1614263682.309403,4733,-3.567103147506714
1614263757.562521,4737,107.58743286132812
1614263993.10016,4744,-1.9515233039855957
1614264555.575359,4768,109.53777313232422
1614264867.781061,4784,108.67312622070312
1614265365.75132,4806,-2.6811161041259766
1614265713.958862,4820,-0.5500335097312927
1614266090.893986,4840,-2.594414234161377
1614266347.807782,4849,110.06024169921875
1614266646.220143,4864,109.88525390625
1614266664.994652,4865,108.77362060546875
1614266909.335508,4874,-1.8910245895385742
1614267059.150341,4882,108.15327453613281
1614267120.249053,4885,99.22816467285156
1614267287.438189,4894,-1.986119031906128
1614267488.038579,4901,107.88446044921875
1614267720.286852,4913,106.51495361328125
1614267736.751799,4914,-3.154308795928955
1614267786.323068,4917,-3.2137157917022705
1614268097.384468,4930,105.96009826660156
1614268326.871048,4943,0.2668994963169098
1614268406.96874,4947,106.25965881347656
1614268433.702114,4949,107.99425506591797
1614268606.734088,4954,101.32008361816406
